concept,cor_noanchor,cor_anchor,cor_multiple,cor_images,cor_hex_images,google_images,specificity,mean_sh,category,normalized_H_add_inv,log_spec
near,0.07674543080277318,0.2730769795801956,0.2487922179736555,0.33444258843340313,0.1914652263405292,0.014176985224245896,0.23503214713457402,0.5878672240636569,directions,0.008008215952463815,-4.8260393316668235
beside,0.09879639790409116,0.3168994742553005,0.2690332724223858,,,-0.1406056389483539,0.23481389085861806,0.07527726211697797,directions,0.0,-11.512925464970229
greed,0.2081787068688289,0.035811002238556364,0.18895871587119745,0.518051020585392,0.6492118345642185,0.32951262989541175,0.23756042425505164,0.9463864457262038,values,0.09970274039886673,-2.305461822827733
reliability,0.2523902237333911,0.28948520005660927,0.16514287794039653,0.16702497996047402,0.10573377394362009,0.561313842706822,0.23512832074481732,0.6640138671185144,properties,0.011532280035376652,-4.46173846069548
shoes,0.26412645051514777,0.4899775851872383,0.34394664205784603,0.3740366140056202,0.551766396911088,0.7269712518346443,0.238806420224497,0.9655699990468507,clothes,0.14417780985827167,-1.9366385940550914
justice,0.2747199104177832,-0.0019109349141181759,0.2025120247040373,0.4962456313712857,0.40780227198888214,0.3938938554156344,0.23618699997299866,0.880901278447209,values,0.05013550149485124,-2.992826469597543
far,0.28414558969438347,0.1700574761771449,0.3360791852295668,0.3743091699790067,0.4241365909780688,0.4558140938289814,0.23542840212647395,0.7736039989795118,directions,0.022509575194859077,-3.7933703393495293
bird,0.3046654621442189,0.10765003194601877,0.21611946169127078,0.3340551590096903,0.41426905937655273,0.45304530081520744,0.23628593156546335,0.8962020289099683,animals,0.05372522694137538,-2.9236864973542076
above,0.3554845582455402,0.7318358002680729,0.7200665644056006,0.5522863993552903,0.5518202139873972,-0.011242462455278032,0.23680440300095576,0.9279753795427265,directions,0.07248887528217107,-2.6241842305912058
boat,0.3882719621246745,0.4586664929314281,0.34455202295981696,0.5784980429870207,0.5869387190727305,0.6345588710936318,0.2438448602414177,0.9786658830074036,vehicles,0.3193868766238216,-1.1413208221350073
safety,0.39202183553018916,0.5888059769801377,0.5874146878863732,0.6451331911401698,0.578836196927737,0.46187412342608786,0.23553431970423513,0.8275144932328549,properties,0.026377473760701653,-3.634865860191834
working,0.46249546858998963,0.4830467889514576,0.6085009502890154,0.4105197532060164,0.43584825465670113,0.7199598667697137,0.23600019924395924,0.8905435228094944,activities,0.043349244604512505,-3.1382353434851473
driving,0.5234071692132555,0.6316862912247444,0.5492258162763518,0.5815953851526182,0.564950493910815,-0.020315012562459468,0.23615109805019577,0.899922377671486,activities,0.04883205911376065,-3.019163470231948
speed,0.5236351892736988,0.5565206670261812,0.5198038078306713,0.3769910439381169,0.49668494761975857,-0.3639675879814251,0.23721128056463478,0.935523249210393,properties,0.08715646385321218,-2.4399356108797674
below,0.5303694767129776,0.6112674118243903,0.5842030056600285,0.45810702225961886,0.7177273715832202,0.08601840883388684,0.2362688794185234,0.9060437623556282,directions,0.0531067054868799,-2.9352637959391
shirt,0.5408693259970129,0.4511389819646555,0.6288923594256579,0.09466803026182696,0.3383356781328343,0.7617693708442791,0.23609261241131638,0.9385211849459091,clothes,0.04670785150778978,-3.0636289280822986
truck,0.5650961207998569,0.478906982344754,0.5951389589776307,0.40472701027923685,0.5904152180031031,0.5876465166679051,0.24415631955153871,0.973833990852284,vehicles,0.32998038537895147,-1.1086917601613484
fish,0.57094951530819,0.5669911149997902,0.5857457339166694,0.7047363955693168,0.6388528613944914,0.45671759023951536,0.23623282410758198,0.8815688892538283,animals,0.05179860059402863,-2.9601991088651665
lightning,0.5771159974385525,0.4083355276657589,0.6379322865359153,0.5688096326641722,0.7308259473081351,-0.045137892130942124,0.23990130988309538,0.9420336005305971,weather,0.18287788642941138,-1.6988819563450253
efficiency,0.5790500142870041,0.6623365920325088,0.6431906636541856,0.6176393324256099,0.714533523062909,0.34421390651462164,0.23561206731186915,0.845829824332829,properties,0.02921444802092632,-3.532749659024738
fearful,0.5807512295899435,0.6891734016023913,0.754390730785586,0.7942804266735128,0.8227727979820779,0.3612097699818292,0.23744317889544886,0.9270631266289929,emotions,0.09549371098207426,-2.348590173799383
leisure,0.5913234224410352,0.6724630088488355,0.6669973209401546,0.7114426751313208,0.7148726761260448,0.4184049590901532,0.2353798801102253,0.8385809928080457,activities,0.020736485381189773,-3.87537842587148
strawberry,0.6050160377080076,0.6927306788685835,0.6185198625446514,0.8308929649357589,0.7797862768508296,0.6425550263270916,0.24189614418571082,0.977051723820927,fruits,0.2524868793847306,-1.3763563892154482
comfort,0.6298194253546057,0.7115355817477905,0.6087783098289126,0.6348546545378895,0.7007544045947142,0.48262791104729014,0.23593179775922657,0.8854078250649919,properties,0.04086160896419333,-3.1973196143268363
train,0.645316087212802,0.5031796716478011,0.4296232381718963,0.5024550920217414,0.5726127196482802,0.5201538419531214,0.23681082988310448,0.9150848176223964,vehicles,0.07272095067355877,-2.620988253629856
socks,0.6544505920831579,0.5414259109276031,0.5129329778378935,-0.14112807828448187,0.5096117006985701,0.7258426967023971,0.23979517480395315,0.9727975027257056,clothes,0.1791418940892089,-1.7195212626428615
car,0.6641614053392993,0.6836804439461365,0.6255215113932633,0.5804042072092953,0.8184195062678657,0.6729884535876514,0.24298924737530095,0.972556565123402,vehicles,0.2901455728182665,-1.2373380418497435
disgust,0.6780375823733862,0.5165342473416583,0.6796483765259507,0.8173692189485311,0.8507928016384538,0.5197956035980812,0.2389529157092013,0.9622968915100237,emotions,0.14937640497656957,-1.901219007903396
grape,0.6847907458646837,0.6575127933416419,0.6755533916978985,0.7812661439727262,0.7457664086424872,0.17312997480652934,0.24791292381022473,0.9820446478734765,fruits_2,0.45565524179139216,-0.7859968579434932
plane,0.7095035149592785,0.6756070108867024,0.5684308773341525,0.45992618691072246,0.6615242531277991,0.4972021908621743,0.24388767766837405,0.9752954037985501,vehicles,0.32084480835901896,-1.13676656858337
pants,0.7108692833427536,0.5873587919495326,0.6359696663628012,0.7656175852750976,0.8106785305227496,0.6596227133385196,0.24155530168734526,0.9708906105620068,clothes,0.24067474692143287,-1.4242673058668904
eggplant,0.7131720112463189,0.6774275508063283,0.7623199570086965,0.752243928922218,0.7070598912480903,0.057775923726623574,0.24970387084854684,0.9844373440238893,vegetables,0.5142391565616409,-0.6650473905833454
peace,0.7208618689618173,0.6044863102541588,0.7279139578598802,0.6285407866962209,0.6656432462019222,0.33106393124918404,0.23710960852158042,0.9460636725084034,values,0.08349599136308139,-2.4828368968481658
sleeping,0.7344468218122292,0.7143468805441242,0.8193676931701342,0.7935786505578909,0.7910833139691148,0.5427435435518762,0.23886828661200918,0.9693716301360493,activities,0.14637400209937068,-1.9215219587034267
evil,0.7364550566724232,0.7009980252190254,0.8151096989476591,0.7992879330990258,0.8019939430781523,0.6723728036190533,0.23824400545115365,0.9554356616040661,values,0.12416035638069833,-2.086100814454434
noon,0.7374298172548874,0.7452141656596553,0.8649115049091393,0.7287669534858614,0.7610235663937532,0.43127143784734906,0.23797603587398275,0.9620021402371597,times-of-day,0.11458950943231982,-2.1663117554059497
sunset,0.7383887352019844,0.8525434906817144,0.7750026842243571,0.92466228608741,0.9255863249155283,0.6902730004307858,0.2405569299584499,0.9691619931117202,scenes,0.20588286535610567,-1.5803993165632961
dress,0.74058142928545,0.6871424280248001,0.5819862333089217,0.3928009961185369,0.6679466435665614,0.10989644440326124,0.23674583388692488,0.9318426630364915,clothes,0.07037335777199438,-2.6537984390480807
day,0.7439686406982842,0.8287085020521296,0.8504902648380653,0.8837660963557428,0.9136322395175746,0.23555616823260522,0.23851927230986164,0.9739081862091048,times-of-day,0.1339694427229685,-2.0100689033152896
carrot,0.7545304699785117,0.7449562917465005,0.7873927653594639,0.8374642042003245,0.8342385768931105,0.7594360855047089,0.25566153760118704,0.9873038400928281,vegetables,0.7032147091189597,-0.3520787951184879
mushroom,0.7607541043134635,0.6574879102362289,0.7533454494564851,0.6976956804781397,0.8403510498924674,0.7152398100063857,0.24674297537396167,0.9742380883808539,vegetables,0.4169256566692887,-0.8748233696421551
eating,0.7660883031985726,0.7936052795328109,0.7727857873671599,0.8152704950793331,0.836062065376709,0.10832533648548089,0.2364167925131614,0.9165074743699724,activities,0.05846889142289635,-2.8390894202371113
sad,0.7661284775994047,0.7239369313634468,0.7685722827940971,0.8829504366612505,0.8836817581966735,0.6165216886825815,0.23937287426664397,0.9712070148347348,emotions,0.16424394973825862,-1.8063415747938587
watermelon,0.7805095685648166,0.7345472958368311,0.7445865791429661,0.9327564416914866,0.9558167448955207,0.7062167601589376,0.24402342214681377,0.9852572712952812,fruits,0.3254635204352705,-1.1224741710719153
dusk,0.7950780610064769,0.5651448230763668,0.7806746236660532,0.8228620012502567,0.8446566889641702,0.687631565087028,0.2386139441981491,0.9596039666792833,times-of-day,0.13733782855886145,-1.985238676111793
dawn,0.7962738115008743,0.7906962537997962,0.7925524327370344,0.7912385805333221,0.9172707532416468,0.5923935521868173,0.23623933044861678,0.8995212051517651,times-of-day,0.052034683458894615,-2.955652632098825
angry,0.7963232647690855,0.6852793755324261,0.8593336798793367,0.8463810284767064,0.8228562443761868,0.638920843766078,0.2410046611173012,0.9693378911363449,emotions,0.2215213292873527,-1.5071912580209592
beach,0.7966578197487887,0.7615443316793389,0.7888916908047874,0.8964935817685891,0.912941405520818,0.632729234085737,0.24006207448055458,0.9681780086378179,scenes,0.18853056553214986,-1.668442093484581
happy,0.7966681405318083,0.8600435909318129,0.7993734435425993,0.8314861882586524,0.8698268660904666,-0.051176667801313025,0.23849773180239248,0.9771694979845078,emotions,0.1332026671133002,-2.0158084269492194
bear,0.7986195457331094,0.8186870457894129,0.7965470803399562,0.8333843684065197,0.843351558894384,0.7233236886614789,0.2443882510240651,0.9716274123920385,animals,0.3378514137986577,-1.0851194859267912
frog,0.8121674601587652,0.8057460191402304,0.8480185286485061,0.9025329516040058,0.9250101499807836,0.87240917760823,0.24303870246323328,0.9807594084752148,animals,0.29184134916323545,-1.2315106845462584
hurricane,0.81284252641736,0.655318511280295,0.7478783855873524,0.7629232126304327,0.7609117501500441,0.655118687456107,0.23932029257537563,0.9493002261508601,weather,0.16238528876777047,-1.8177218617260336
cherry,0.816176248452293,0.8496879280082399,0.8401746542224251,0.9335551000663156,0.9300836253999326,0.7853646992229011,0.24527029050309918,0.9699292539318368,fruits_2,0.36764912066458233,-1.0005990726384195
corn,0.8255940058069722,0.8371452418485726,0.8435579000699827,0.8361139524415072,0.8800856959327067,0.8044723213233413,0.2538921167875824,0.9864289455950273,vegetables,0.6480150231839122,-0.43382596735088597
field,0.8290229635347914,0.7976133857637443,0.7887636242068955,0.8533661573234683,0.8802037279161419,0.8050394629577455,0.2412767768904525,0.9697479204003717,scenes,0.23099749921207136,-1.4653051048657706
drought,0.8322681747831215,0.8592565908262946,0.8675564437144199,0.8189178628348672,0.8867873562291095,0.7689486609779643,0.2445576635464618,0.9794807557160352,weather,0.34359130944805494,-1.0682732779128987
blueberry,0.8369073262004902,0.8611905294976245,0.8824571546828118,0.8375850626194051,0.9076779588548632,0.8523522919842706,0.24321806868229942,0.9828268085899097,fruits,0.2979858904728111,-1.2106755829315148
blizzard,0.83857707372992,0.8323512428540084,0.88751216332742,0.8696203998108424,0.8969977440550322,0.8217235647080028,0.24682731895709942,0.9856191822143744,weather,0.4197300189164619,-0.8681197619457692
banana,0.8437816453606248,0.8422409359252894,0.8606453113224883,0.9038481166148434,0.945870177889045,0.8770356036101157,0.2542721010960317,0.9835799369041908,fruits_2,0.6599339683758627,-0.4156003439657773
night,0.8456769899614422,0.7686215099998736,0.8818347956092737,0.9098662727490903,0.8997235759159776,0.4809170383471329,0.2435605970012526,0.984457551794351,times-of-day,0.3096947260096501,-1.172135932159289
mango,0.8572786817178905,0.8621894271202841,0.8503957880535223,0.9398993367353857,0.9436663864479076,0.8865967584737853,0.24280683428217836,0.9767752131542871,fruits,0.283884797285884,-1.2591515415398042
lemon,0.869607072180322,0.8253824445544597,0.8755741224647231,0.940442848538297,0.9350766958819788,0.8553781534060309,0.24407886512635232,0.9816465839137358,fruits,0.32734849268534094,-1.1166994006853015
celery,0.8731971954200344,0.8895335346789076,0.8399094599019548,0.903669935491262,0.9434867959082494,0.8945442079133757,0.26561419279898174,0.9920615466807972,vegetables,1.0,9.999950000398841e-06
sky,0.8832348916187206,0.8426044584326143,0.8524300838441875,0.8755649347780361,0.907340557968017,0.7755024280242654,0.24588495512709005,0.9851348123048328,scenes,0.3882877763112693,-0.9459827689895526
love,0.8892016125217089,0.902131938730084,0.8976366533686139,0.9230549756348746,0.9287861488157859,0.2799156558064377,0.24142012960144305,0.9823046442259638,values,0.23598102829724232,-1.4439614903687927
apple,0.8967014223138801,0.8552472532011504,0.8885599125568017,0.8990570605317912,0.9242822927526327,0.4220903344155847,0.2487723967187009,0.9795430792349884,fruits_2,0.4838748462692536,-0.7259083215044744
peach,0.9036132548008221,0.8891407069581315,0.9168777406899742,0.8762447169428073,0.8477353201514768,0.8941722438238189,0.24923747040026215,0.9760575323782539,fruits_2,0.4990637464056936,-0.6950014057620828
ocean,0.9202989798226225,0.9344388963664048,0.9241025781588373,0.9361642038423721,0.9389612311947231,0.8072839564988465,0.24548320839320695,0.9858386164125419,scenes,0.37480998598846826,-0.9813094056306322
lion,0.9255203537174571,0.8735404335844208,0.9236069201975706,0.9317860254858792,0.934364617220474,0.6634226538516814,0.24667097092346438,0.982907097189927,animals,0.4145300440729577,-0.8805857009356399
sandstorm,0.926655652826008,0.9142340838717533,0.9210666243704073,0.9254617936069935,0.9326046629785182,0.7997656463577916,0.24727161424319494,0.9863369441578813,weather,0.4344709292257918,-0.8336032265499724
